root_symbol,expiration_date,strike,put_call,undly_symbol,start_date,end_date,implied_volatility_1545,trade_volume,open_interest,implied_underlying_price_1545,active_underlying_price_1545
SPXW,1/3/2014,1545,p,^SPX,11/27/2013,1/3/2014,0.6916,92,975,1845.72,1845.72
SPXW,1/3/2014,1550,c,^SPX,11/27/2013,1/3/2014,0.8254,0,0,1845.72,1845.72
SPXW,1/3/2014,1550,p,^SPX,11/27/2013,1/3/2014,0.6788,685,5170,1845.72,1845.72
SPXW,1/3/2014,1555,c,^SPX,11/27/2013,1/3/2014,0.8119,0,0,1845.72,1845.72
SPXW,1/3/2014,1555,p,^SPX,11/27/2013,1/3/2014,0.6685,634,486,1845.72,1845.72
SPXW,1/3/2014,1560,c,^SPX,11/27/2013,1/3/2014,0.7984,0,11,1845.72,1845.72
SPXW,1/3/2014,1560,p,^SPX,11/27/2013,1/3/2014,0.6759,159,2410,1845.72,1845.72
SPXW,1/3/2014,1565,c,^SPX,11/27/2013,1/3/2014,0.7957,0,0,1845.72,1845.72
SPXW,1/3/2014,1565,p,^SPX,11/27/2013,1/3/2014,0.6642,81,7744,1845.72,1845.72
SPXW,1/3/2014,1570,c,^SPX,11/27/2013,1/3/2014,0.7821,0,0,1845.72,1845.72
SPXW,1/3/2014,1570,p,^SPX,11/27/2013,1/3/2014,0.6526,305,1259,1845.72,1845.72
SPXW,1/3/2014,1575,c,^SPX,11/27/2013,1/3/2014,0.7684,0,10,1845.72,1845.72
SPXW,1/3/2014,1575,p,^SPX,11/27/2013,1/3/2014,0.6409,2299,13977,1845.72,1845.72
SPXW,1/3/2014,1580,c,^SPX,11/27/2013,1/3/2014,0.7549,0,0,1845.72,1845.72
SPXW,1/3/2014,1580,p,^SPX,11/27/2013,1/3/2014,0.6293,72,2120,1845.72,1845.72
SPXW,1/3/2014,1585,c,^SPX,11/27/2013,1/3/2014,0.7414,0,0,1845.72,1845.72
SPXW,1/3/2014,1585,p,^SPX,11/27/2013,1/3/2014,0.6177,81,689,1845.72,1845.72
SPXW,1/3/2014,1590,c,^SPX,11/27/2013,1/3/2014,0.7279,0,0,1845.72,1845.72
SPXW,1/3/2014,1590,p,^SPX,11/27/2013,1/3/2014,0.6061,664,2593,1845.72,1845.72
SPXW,1/3/2014,1595,c,^SPX,11/27/2013,1/3/2014,0.7145,0,0,1845.72,1845.72
SPXW,1/3/2014,1595,p,^SPX,11/27/2013,1/3/2014,0.5945,356,420,1845.72,1845.72
SPXW,1/3/2014,1600,c,^SPX,11/27/2013,1/3/2014,0.701,25,25,1845.72,1845.72
SPXW,1/3/2014,1600,p,^SPX,11/27/2013,1/3/2014,0.5969,728,28857,1845.72,1845.72
SPXW,1/3/2014,1605,c,^SPX,11/27/2013,1/3/2014,0.6876,0,0,1845.72,1845.72
SPXW,1/3/2014,1605,p,^SPX,11/27/2013,1/3/2014,0.5968,92,1300,1845.72,1845.72
SPXW,1/3/2014,1610,c,^SPX,11/27/2013,1/3/2014,0.6742,0,0,1845.72,1845.72
SPXW,1/3/2014,1610,p,^SPX,11/27/2013,1/3/2014,0.5733,175,6389,1845.72,1845.72
SPXW,1/3/2014,1615,c,^SPX,11/27/2013,1/3/2014,0.6698,0,0,1845.72,1845.72
SPXW,1/3/2014,1615,p,^SPX,11/27/2013,1/3/2014,0.5729,150,807,1845.72,1845.72
SPXW,1/3/2014,1620,c,^SPX,11/27/2013,1/3/2014,0.6563,0,0,1845.72,1845.72
SPXW,1/3/2014,1620,p,^SPX,11/27/2013,1/3/2014,0.561,0,449,1845.72,1845.72
SPXW,1/3/2014,1625,c,^SPX,11/27/2013,1/3/2014,0.6426,0,10,1845.72,1845.72
SPXW,1/3/2014,1625,p,^SPX,11/27/2013,1/3/2014,0.5491,98,6646,1845.72,1845.72
SPXW,1/3/2014,1630,c,^SPX,11/27/2013,1/3/2014,0.6293,25,25,1845.72,1845.72
SPXW,1/3/2014,1630,p,^SPX,11/27/2013,1/3/2014,0.5372,13,440,1845.72,1845.72
SPXW,1/3/2014,1635,c,^SPX,11/27/2013,1/3/2014,0.6158,25,25,1845.72,1845.72
SPXW,1/3/2014,1635,p,^SPX,11/27/2013,1/3/2014,0.5254,1000,1360,1845.72,1845.72
SPXW,1/3/2014,1640,c,^SPX,11/27/2013,1/3/2014,0.6025,0,0,1845.72,1845.72
